category_name,total_orders,total_items_sold,avg_items_per_order,avg_item_price
cama_mesa_banho,9417,11115,1.18,93.3
beleza_saude,8836,9670,1.09,130.16
esporte_lazer,7720,8641,1.12,114.34
informatica_acessorios,6689,7827,1.17,116.51
moveis_decoracao,6449,8334,1.29,87.56
utilidades_domesticas,5884,6964,1.18,90.79
relogios_presentes,5624,5991,1.07,201.14
telefonia,4199,4545,1.08,71.21
automotivo,3897,4235,1.09,139.96
brinquedos,3886,4117,1.06,117.55
cool_stuff,3632,3796,1.05,167.36
ferramentas_jardim,3518,4347,1.24,111.63
perfumaria,3162,3419,1.08,116.74
bebes,2885,3065,1.06,134.34
eletronicos,2550,2767,1.09,57.91
papelaria,2311,2517,1.09,91.75
fashion_bolsas_e_acessorios,1864,2031,1.09,75.25
pet_shop,1710,1947,1.14,110.07
Unknown,1451,1603,1.1,112.0
moveis_escritorio,1273,1691,1.33,162.01
consoles_games,1062,1137,1.07,138.49
malas_acessorios,1034,1092,1.06,128.6
eletrodomesticos,764,771,1.01,103.98
construcao_ferramentas_construcao,748,929,1.24,155.73
eletroportateis,630,679,1.08,280.78
instrumentos_musicais,628,680,1.08,281.62
livros_interesse_geral,512,553,1.08,84.73
casa_construcao,490,604,1.23,137.56
alimentos,450,510,1.13,57.63
moveis_sala,422,503,1.19,137.01
casa_conforto,397,434,1.09,134.96
audio,350,364,1.04,139.25
bebidas,297,379,1.28,59.18
market_place,280,311,1.11,91.25
livros_tecnicos,260,267,1.03,71.52
climatizacao,253,297,1.17,185.27
moveis_cozinha_area_de_servico_jantar_e_jardim,248,281,1.13,164.87
construcao_ferramentas_iluminacao,244,304,1.25,135.13
fashion_calcados,240,262,1.09,89.93
industria_comercio_e_negocios,235,268,1.14,148.02
eletrodomesticos_2,234,238,1.02,476.12
alimentos_bebidas,227,278,1.22,54.6
telefonia_fixa,217,264,1.22,225.69
artes,202,209,1.03,115.8
construcao_ferramentas_jardim,194,238,1.23,108.05
agro_industria_e_comercio,182,212,1.16,342.12
pcs,181,203,1.12,1098.34
construcao_ferramentas_seguranca,167,194,1.16,208.99
sinalizacao_e_seguranca,140,199,1.42,108.09
artigos_de_natal,128,153,1.2,57.52
fashion_underwear_e_moda_praia,121,131,1.08,72.84
fashion_roupa_masculina,112,132,1.18,81.8
construcao_ferramentas_ferramentas,97,103,1.06,154.41
moveis_quarto,95,109,1.15,183.75
tablets_impressao_imagem,79,83,1.05,90.7
portateis_casa_forno_e_cafe,75,76,1.01,624.29
cine_foto,65,72,1.11,96.3
dvds_blu_ray,59,64,1.08,93.74
livros_importados,53,60,1.13,77.33
artigos_de_festas,39,43,1.1,104.31
fashion_roupa_feminina,39,48,1.23,58.41
musica,38,38,1.0,158.8
moveis_colchao_e_estofado,38,38,1.0,114.95
flores,29,33,1.14,33.64
fashion_esporte,27,30,1.11,70.65
fraldas_higiene,27,39,1.44,40.19
casa_conforto_2,24,30,1.25,25.34
artes_e_artesanato,23,24,1.04,75.58
portateis_cozinha_e_preparadores_de_alimentos,14,15,1.07,264.57
la_cuisine,13,14,1.08,146.79
cds_dvds_musicais,12,14,1.17,52.14
pc_gamer,8,9,1.13,171.77
fashion_roupa_infanto_juvenil,8,8,1.0,71.23
seguros_e_servicos,2,2,1.0,141.65
