seller_state,total_sellers,total_orders,total_items_sold,total_revenue,avg_revenue_per_seller
SP,1849,70950.0,80342.0,8753396.21,4734.12
PR,349,7717.0,8671.0,1261887.21,3615.72
MG,244,7942.0,8827.0,1011564.74,4145.76
RJ,171,4355.0,4818.0,843984.22,4935.58
SC,190,3672.0,4075.0,632426.07,3328.56
RS,129,1991.0,2199.0,378559.54,2934.57
BA,19,569.0,643.0,285561.56,15029.56
DF,30,824.0,899.0,97749.48,3258.32
PE,9,406.0,448.0,91493.85,10165.98
GO,40,463.0,520.0,66399.21,1659.98
ES,23,318.0,372.0,47689.61,2073.46
MA,1,392.0,405.0,36408.95,36408.95
CE,13,91.0,94.0,20240.64,1556.97
PB,6,36.0,38.0,17095.0,2849.17
MT,4,137.0,145.0,17070.72,4267.68
RN,5,51.0,56.0,9992.6,1998.52
MS,5,49.0,50.0,8551.69,1710.34
RO,2,14.0,14.0,4762.2,2381.1
PI,1,12.0,12.0,2522.0,2522.0
SE,2,9.0,10.0,1606.2,803.1
PA,1,8.0,8.0,1238.0,1238.0
AM,1,3.0,3.0,1177.0,1177.0
AC,1,1.0,1.0,267.0,267.0
