seller_id,seller_city,seller_state,total_orders,total_items_sold,seller_revenue
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,1854,2033,123304.83
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1806,1987,200472.92
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1706,1775,104288.42
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1404,1931,106939.21
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1314,1551,160236.57
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1287,1499,135171.7
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1160,1171,141745.53
ea8482cd71df3c1969d7b9473ff13abc,sao paulo,SP,1146,1203,37177.52
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1132,1156,229472.63
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1080,1147,94914.2
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,982,1364,187923.89
8b321bb669392f5163d04c59e235e066,sao paulo,SP,943,1018,17535.69
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,915,1428,138968.55
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,740,798,114774.5
a1043bafd471dff536d0c462352beb48,ilicinea,MG,718,770,101901.16
cca3071e3e9bb7d12640c9fbe2301306,ibitinga,SP,712,830,64009.89
f8db351d8c4c4c22c6835c19a46f01b0,salto,SP,667,724,50525.6
e9779976487b77c6d4ac45f75ec7afe9,praia grande,SP,657,750,43162.95
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,585,586,194042.03
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,565,578,113628.97
